user,topic,
isabeel,STEM,
isabeel,pipeline,
isabeel,dropout,
isabeel,peer effect,
isabeel,homophily,
manuel,peer mentoring,
manuel,peer effect,
manuel,comparison to others,
manuel,STEM,
manuel,emotion,
Vanina,memory,
Vanina,forgetting,
Vanina,churn,
Vanina,temporal,
martin,social capital,
martin,twitter,
martin,broker,
martin,network position,
muge,knowledge ,
muge,transfer,
muge,aent-based modeling,
muge,learning function,
muge,external-internal ties,
muge,relateness of groups,
lorena,teaching experience,
lorena,advice,
lorena,transitivity,
lorena,reciprocity,
nienke,receiver effect,
nienke,public policy,
nienke,pedagogical content knowledge,
nienke,learning strategies,
nienke,homophily,
bastian,evidence-based practices,
bastian,type of relation,
bastian,advice,
katerina,twitter,
katerina,expertise distribution,
katerina,specialization,
katerina,topic modeling,
katerina,teacher community,
Laua,teacher,
Laua,attrition,r
Laua,mixed-method,
Laua,network position,
Laua,relationship,
dominik,mixed-method,
dominik,field,
dominik,integrating,
